,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
0,,2018,1,1,June-Reg,Casey Mize,Detroit Tigers,p,7.50,Yes,MLB,2020-2022,2016-2022,College,Auburn,AL,p,6-3,212,R,R,1997-05-01,"Springville,AL"
1,,2018,1,2,June-Reg,Joey Bart,San Francisco Giants,c,7.03,Yes,MLB,2020-2023,2016-2023,College,Georgia Tech,GA,c,6-2,238,R,R,1996-12-15,"Buford,GA"
2,,2018,1,3,June-Reg,Alec Bohm,Philadelphia Phillies,3b,5.85,Yes,MLB,2020-2023,2016-2023,College,Wichita State,KS,3b,6-5,218,R,R,1996-08-03,"Omaha,NE"
3,,2018,1,4,June-Reg,Nick Madrigal,Chicago White Sox,ss,6.41,Yes,MLB,2020-2023,2016-2023,College,Oregon State,OR,2b,5-8,175,R,R,1997-03-05,"Elk Grove,CA"
4,,2018,1,5,June-Reg,Jonathan India,Cincinnati Reds,3b,5.30,Yes,MLB,2021-2023,2016-2023,College,Florida,FL,2b,6-0,185,R,R,1996-12-15,"Plantation,FL"
5,,2018,1,6,June-Reg,Jarred Kelenic,New York Mets,of,4.50,Yes,MLB,2021-2023,2018-2023,HS,"Waukesha West (Waukesha,WI)",WI,rf-cf,6-1,206,L,L,1999-07-16,"Waukesha,WI"
6,,2018,1,7,June-Reg,Ryan Weathers,San Diego Padres,p,5.23,Yes,MLB,2021-2023,2018-2023,HS,"Loretto (Loretto,TN)",TN,p,6-1,230,R,L,1999-12-17,"Loretto,TN"
7,,2018,1,8,June-Reg,Carter Stewart,Atlanta Braves,p,0.00,No,Intl,--,2021-2021,HS,"Eau Gallie (Melbourne,FL)",FL,p,6-6,200,R,R,1999-11-02,"Melbourne,FL"
8,,2018,1,9,June-Reg,Kyler Murray,Oakland Athletics,cf,4.66,Yes,College,--,2017-2018,College,Oklahoma,OK,of,5-11,195,R,R,1997-08-07,"Allen,TX"
9,,2018,1,10,June-Reg,Travis Swaggerty,Pittsburgh Pirates,of,4.40,Yes,MLB,2022-2022,2016-2023,College,South Alabama,AL,cf-rf,5-10,200,L,L,1997-08-19,"Covington,LA"
10,,2018,1,11,June-Reg,Grayson Rodriguez,Baltimore Orioles,p,4.30,Yes,MLB,2023-2023,2018-2023,HS,"Central Heights (Nacogdoches,TX)",TX,p,6-5,230,L,R,1999-11-16,"Houston,TX"
11,,2018,1,12,June-Reg,Jordan Groshans,Toronto Blue Jays,ss,3.40,Yes,MLB,2022-2022,2018-2023,HS,"Magnolia (Magnolia,TX)",TX,ss-3b,6-3,200,R,R,1999-11-10,"Magnolia,TX"
12,,2018,1,13,June-Reg,Connor Scott,Miami Marlins,of,4.04,Yes,AA,--,2018-2023,HS,"Henry B. Plant (Tampa,FL)",FL,rf-cf,6-3,200,L,L,1999-10-08,"Tampa,FL"
13,,2018,1,14,June-Reg,Logan Gilbert,Seattle Mariners,p,3.88,Yes,MLB,2021-2023,2016-2023,College,Stetson,FL,p,6-6,215,R,R,1997-05-05,"Winter Park,FL"
14,,2018,1,15,June-Reg,Cole Winn,Texas Rangers,p,3.15,Yes,AAA,--,2019-2023,HS,"Orange Lutheran (Orange,CA)",CA,p,6-2,190,R,R,1999-11-25,"Longmont,CO"
15,,2018,1,16,June-Reg,Matthew Liberatore,Tampa Bay Rays,p,3.50,Yes,MLB,2022-2023,2018-2023,HS,"Mountain Ridge (Glendale,AZ)",AZ,p,6-4,200,L,L,1999-11-06,"Peoria,AZ"
16,,2018,1,17,June-Reg,Jordyn Adams,Los Angeles Angels,of,4.10,Yes,AAA,--,2018-2023,HS,"Green Hope (Cary,NC)",NC,cf-rf,6-2,181,R,R,1999-10-18,"Gulfport,MS"
17,,2018,1,18,June-Reg,Brady Singer,Kansas City Royals,p,4.25,Yes,MLB,2020-2023,2016-2023,College,Florida,FL,p,6-5,210,R,R,1996-08-04,"Eustis,FL"
18,,2018,1,19,June-Reg,Nolan Gorman,St. Louis Cardinals,3b,3.23,Yes,MLB,2022-2023,2018-2023,HS,"Sandra Day O'Connor (Glendale,AZ)",AZ,2b,6-1,210,L,R,2000-05-10,"Phoenix,AZ"
19,,2018,1,20,June-Reg,Trevor Larnach,Minnesota Twins,rf,2.55,Yes,MLB,2021-2023,2016-2023,College,Oregon State,OR,lf-rf,6-4,205,L,R,1997-02-26,"Walnut Creek,CA"
20,,2018,1,21,June-Reg,Brice Turang,Milwaukee Brewers,ss,3.41,Yes,MLB,2023-2023,2018-2023,HS,"Santiago (Corona,CA)",CA,ss,6-0,176,L,R,1999-11-21,"Corona,CA"
21,,2018,1,22,June-Reg,Ryan Rolison,Colorado Rockies,p,2.91,Yes,AAA,--,2017-2023,College,Mississippi,MS,p,6-2,213,R,L,1997-07-11,"Jackson,TN"
