,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
0,,2021,1,1,June-Reg,Henry Davis,Pittsburgh Pirates,c,6.50,Yes,AA,--,2019-2023,College,Louisville,KY,c,6-0,220,R,R,1999-09-21,"Bedford,NY"
1,,2021,1,2,June-Reg,Jack Leiter,Texas Rangers,p,7.92,Yes,AA,--,2020-2023,College,Vanderbilt,TN,p,6-1,205,R,R,2000-04-21,"Plantation,FL"
2,,2021,1,3,June-Reg,Jackson Jobe,Detroit Tigers,p,6.90,Yes,A+,--,2022-2022,HS,"Heritage Hall (Oklahoma City,OK)",OK,p,6-2,190,R,R,2002-07-30,"Irving,TX"
3,,2021,1,4,June-Reg,Marcelo Mayer,Boston Red Sox,ss,6.66,Yes,AA,--,2021-2023,HS,"Eastlake (Chula Vista,CA)",CA,ss,6-3,188,L,R,2002-12-12,"Chula Vista,CA"
4,,2021,1,5,June-Reg,Colton Cowser,Baltimore Orioles,of,4.90,Yes,AAA,--,2019-2023,College,Sam Houston State,TX,cf-lf,6-3,220,L,R,2000-03-20,"Houston,TX"
5,,2021,1,6,June-Reg,Jordan Lawlar,Arizona Diamondbacks,ss,6.71,Yes,AA,--,2021-2023,HS,"Jesuit College Prep (Dallas,TX)",TX,ss,6-2,190,R,R,2002-07-17,"Carrollton,TX"
6,,2021,1,7,June-Reg,Frank Mozzicato,Kansas City Royals,p,3.55,Yes,A,--,2022-2023,HS,"East Catholic (Manchester,CT)",CT,p,6-3,175,L,L,2003-06-19,"Hartford,CT"
7,,2021,1,8,June-Reg,Benny Montgomery,Colorado Rockies,of,5.00,Yes,A+,--,2021-2023,HS,"Red Land (Lewisberry,PA)",PA,cf,6-4,200,R,R,2002-09-09,"Paoli,PA"
8,,2021,1,9,June-Reg,Sam Bachman,Los Angeles Angels,p,3.85,Yes,MLB,2023-2023,2019-2023,College,Miami,OH,p,6-1,235,R,R,1999-09-30,"Indianapolis,IN"
9,,2021,1,10,June-Reg,Kumar Rocker,New York Mets,rhp,0.00,No,A+,--,2019-2023,College,Vanderbilt,TN,p,6-5,245,R,R,1999-11-22,"Watkinsville,GA"
10,,2021,1,11,June-Reg,Brady House,Washington Nationals,ss,5.00,Yes,A,--,2021-2023,HS,"Winder-Barrow (Winder,GA)",GA,ss,6-4,215,R,R,2003-06-04,"Winder,GA"
11,,2021,1,12,June-Reg,Harry Ford,Seattle Mariners,c,4.37,Yes,A+,--,2021-2023,HS,"North Cobb (Kennesaw,GA)",GA,c,5-10,200,R,R,2003-02-21,"Atlanta,GA"
12,,2021,1,13,June-Reg,Andrew Painter,Philadelphia Phillies,p,3.90,Yes,AA,--,2021-2022,HS,"Calvary Christian Academy (Fort Lauderdale,FL)",FL,p,6-7,215,R,R,2003-04-10,"Pompano Beach,FL"
13,,2021,1,14,June-Reg,Will Bednar,San Francisco Giants,p,3.65,Yes,A,--,2020-2022,College,Mississippi State,MS,p,6-2,230,R,R,2000-06-13,"Pittsburgh,PA"
14,,2021,1,15,June-Reg,Sal Frelick,Milwaukee Brewers,of,4.00,Yes,AAA,--,2019-2023,College,Boston College,MA,cf-lf,5-10,182,L,R,2000-04-19,"Boston,MA"
15,,2021,1,16,June-Reg,Kahlil Watson,Miami Marlins,ss,4.54,Yes,A+,--,2021-2023,HS,"Wake Forest-Rolesville (Wake Forest,NC)",NC,ss-2b,5-9,178,L,R,2003-04-16,"Chase City,VA"
16,,2021,1,17,June-Reg,Matt McLain,Cincinnati Reds,ss,4.63,Yes,MLB,2023-2023,2019-2023,College,UCLA,CA,ss-2b,5-8,180,R,R,1999-08-06,"Orange,CA"
17,,2021,1,18,June-Reg,Michael McGreevy,St. Louis Cardinals,p,2.75,Yes,AAA,--,2019-2023,College,UC Santa Barbara,CA,p,6-4,215,L,R,2000-07-08,"San Clemente,CA"
18,,2021,1,19,June-Reg,Gunnar Hoglund,Toronto Blue Jays,p,3.25,Yes,A,--,2019-2023,College,Mississippi,MS,p,6-4,220,L,R,1999-12-17,"Dunedin,FL"
19,,2021,1,20,June-Reg,Trey Sweeney,New York Yankees,ss,3.00,Yes,AA,--,2019-2023,College,Eastern Illinois,IL,ss,6-4,200,L,R,2000-04-24,"Louisville,KY"
20,,2021,1,21,June-Reg,Jordan Wicks,Chicago Cubs,p,3.13,Yes,AA,--,2019-2023,College,Kansas State,KS,p,6-3,220,L,L,1999-09-01,"Conway,AR"
21,,2021,1,22,June-Reg,Colson Montgomery,Chicago White Sox,ss,3.03,Yes,AA,--,2021-2022,HS,"Southridge (Huntingburg,IN)",IN,ss,6-4,205,L,R,2002-02-27,"Jasper,IN"
22,,2021,1,23,June-Reg,Gavin Williams,Cleveland Baseball Team,p,2.25,Yes,AAA,--,2018-2023,College,East Carolina,NC,p,6-6,250,L,R,1999-07-26,"Fayetteville,NC"
23,,2021,1,24,June-Reg,Ryan Cusick,Atlanta Braves,p,2.70,Yes,AA,--,2019-2023,College,Wake Forest,NC,p,6-6,235,R,R,1999-11-12,"Sudbury,MA"
